State,Town,Title,K1876,List_K1876,K1882,List_K1882,K1890,List_K1890,C1875,List_C1875,C1890,List_C1890,W1885,List_W1885,W1894,List_W1894,N1890,List_N1890,S1894,List_S1894,A1878,List_A1878,A1882,List_A1882,A1883,List_A1883,A1889,List_A1889,X1870,X1880,X1890,X1900,Latitude,Longitude,LCCN,Start,End,ChronAm
Illinois,Aurora,Beacon.,1,Kellogg,1,Chicago,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,11162,11873,19688,24147,41.76388889,-88.29,NA,NA,NA,0
Illinois,Beardstown,Messenger.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2528,3135,4226,4827,40.01222222,-90.42861111,NA,NA,NA,0
Illinois,Belleville,Advocate.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,8146,10683,15361,17484,38.52166667,-89.99527778,NA,NA,NA,0
Illinois,Belleville,Democrat.,1,Kellogg,1,St. Louis,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,8146,10683,15361,17484,38.52166667,-89.99527778,NA,NA,NA,0
Illinois,Belvidere,Standard.,1,Kellogg,1,Chicago,1,Chicago,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,3231,2951,3867,6937,42.25472222,-88.84416667,NA,NA,NA,0
Illinois,Biggsville,Clipper.,1,Kellogg,1,Chicago,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,353,358,487,417,40.85361111,-90.865,NA,NA,NA,0
Illinois,Brighton,Advance.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,691,742,660,39.03944444,-90.13972222,NA,NA,NA,0
Illinois,Brimfield,Gazette.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,832,719,677,40.83833333,-89.88388889,NA,NA,NA,0
Illinois,Cambridge,Chronicle.,1,Kellogg,1,Chicago,0,NA,0,NA,1,Standard,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1203,940,1345,41.30333333,-90.19333333,NA,NA,NA,0
Illinois,Camp Point,Journal.,1,Kellogg,1,Chicago,1,Chicago,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1131,1150,1260,40.04166667,-91.065,NA,NA,NA,0
Illinois,Carlinville,Democrat.,1,Kellogg,1,St. Louis,1,St. Louis,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,3117,3293,3502,39.26666667,-89.88333333,NA,NA,NA,0
Illinois,Carlyle,Union Banner.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1364,2017,1784,1874,38.61277778,-89.37083333,NA,NA,NA,0
Illinois,Carrollton,Patriot.,1,Kellogg,1,St. Louis,1,St. Louis,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1934,2258,2355,39.29666667,-90.40805556,NA,NA,NA,0
Illinois,Carthage,Republican.,1,Kellogg,0,NA,1,Chicago,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1448,1594,1654,2104,40.41444444,-91.13333333,NA,NA,NA,0
Illinois,Casey,Times.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,778,844,1500,39.29944444,-87.99,NA,NA,NA,0
Illinois,Centralia,Democrat.,1,Kellogg,1,St. Louis,1,St. Louis,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,3190,3621,4763,6721,38.52527778,-89.1325,NA,NA,NA,0
Illinois,Champaign,Times.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,4625,5103,5839,9098,40.115,-88.27277778,NA,NA,NA,0
Illinois,Chebanse,Independent.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,723,616,555,41.00166667,-87.91083333,NA,NA,NA,0
Illinois,Chenoa,Monitor.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1063,1226,1512,40.74305556,-88.72,NA,NA,NA,0
Illinois,Chester,Tribune.,1,Kellogg,1,St. Louis,1,St. Louis,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1615,2580,2708,2832,37.91388889,-89.82305556,NA,NA,NA,0
Illinois,Chester,Valley Clarion.,1,Kellogg,0,NA,1,St. Louis,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1615,2580,2708,2832,37.91388889,-89.82305556,NA,NA,NA,0
Illinois,Chicago,Lamp.,1,Kellogg,1,Chicago,1,Chicago,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,298977,503185,1099850,1698575,41.83694444,-87.68472222,NA,NA,NA,0
Illinois,Clifton,Reporter.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,Chicago Union,0,NA,0,NA,0,NA,0,474,474,652,40.93527778,-87.93444444,NA,NA,NA,0
