Population,Town,State,Latitude,Longitude,Retailer,General,News,Educational,Juvenile,DepartmentStore,DrugStore,GiftStore,CirculatingLibrary,SecondHand,OldandRare,Medical,Law,Religious,Foreign,Wholesale,Music,X
414216,Newark,NEW JERSEY,40.735657,-74.1723667,"Soney & Sage Co., 42 Clinton St.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,l
32779,New Brunswick,NEW JERSEY,40.4862157,-74.4518188,"Housell, Elmer S., 179 Neilson St. GGiSJN",1,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,ghsjn
32779,New Brunswick,NEW JERSEY,40.4862157,-74.4518188,"Kaufman's Drug Store, 331 George St. Dr",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,u
32779,New Brunswick,NEW JERSEY,40.4862157,-74.4518188,"Lincoln Gardens News Depot, 612 Sommerset St. N",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
32779,New Brunswick,NEW JERSEY,40.4862157,-74.4518188,"Montalvo's Gift Shop (R. Montalvo, Jr.), IoI-107 Albany St. Gi",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,h
32779,New Brunswick,NEW JERSEY,40.4862157,-74.4518188,"Reed, Wm. R., 391 George St. GGiERJN",1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,gherjn
32779,New Brunswick,NEW JERSEY,40.4862157,-74.4518188,Rutgers College Bookstore (E. H. Brill) EC,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,ec
32779,New Brunswick,NEW JERSEY,40.4862157,-74.4518188,"Schneider Bros., 130 Albany St.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
32779,New Brunswick,NEW JERSEY,40.4862157,-74.4518188,"Strauss, Harry, 341 George St. JN",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jn
4467,Newton,NEW JERSEY,41.0581527,-74.7526651,"Decker & Auble, 11 Main St. N",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
4467,Newton,NEW JERSEY,41.0581527,-74.7526651,"Nicholls, William H., 71 Spring St. N",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
4467,Newton,NEW JERSEY,41.0581527,-74.7526651,"Sherred, W. H., 73 Spring St. N",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
2000,Ocean City,NEW JERSEY,39.2776156,-74.5746001,"The Cooper Shop of Handicrafts, Boardwalk Gi",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,h
29630,Orange,NEW JERSEY,40.7706187,-74.2326478,"Mostwill, M., 185 Main St. CJN",NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,cjn
29630,Orange,NEW JERSEY,40.7706187,-74.2326478,"Post, William, 75 Main St. N",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
