Title,City,State,Start,End,Language,Category
"American Journal of Science and Arts, The",New Haven,CT,1/1/1853,11/1/1865,English,Science--Periodicals.
American Jubilee,New York,NY,3/1/1854,3/1/1855,English,Antislavery periodicals.
"American Law Register, The",Philadelphia,PA,1/1/1853,12/1/1865,English,"Law reports, digests, etc.--Pennsylvania.Law reports, digests, etc.--United States.Law--Pennsylvania--Periodicals."
"American Life Assurance Magazine and Journal of Actuaries, The",New York,NY,7/1/1859,10/1/1865,English,"Insurance, Life--Periodicals."
American Literary Gazette and Publishers' Circular,Philadelphia,PA,11/2/1863,12/15/1865,English,American literature--Bibliography--Periodicals.Bibliography--Periodicals.
American Loyalist,Washington D.C.,USA,11/18/1865,11/18/1865,English,Labor periodicals.
American Medical Gazette,New York,NY,2/1/1858,6/1/1859,English,Medicine--Periodicals.
"American Medical Journal, The",Cincinnati,OH,9/1/1856,9/1/1856,English,Medicine--Periodicals.
American Medical Monthly,New York,NY,7/1/1861,12/1/1862,English,Medicine--Periodicals.
American Medical Monthly and New York Review,New York,NY,1/1/1861,6/2/1861,English,Medicine--Periodicals.
"American Medical Monthly, The",New York,NY,1/1/1854,5/1/1862,English,Medicine--Periodicals.
American Medical Times,New York,NY,7/7/1860,9/3/1864,English,Medicine--Periodicals.
"American Merchant, The",New York,NY,11/1/1858,4/1/1859,English,Business and financial periodicals.
American Messenger,New York,NY,1/1/1853,9/1/1865,English,Religious periodicals.
"American Mining Chronicle, Iron Manufacturers' and Railway Journal, The",New York,NY,6/20/1854,6/20/1854,English,Mining periodicals.Railroad industry periodicals.Industry periodicals.
"American Miscellany of Romance, Literature, News, Instruction, and Amusement, The",Boston,MA,4/8/1865,4/8/1865,English,Literature--Periodicals.
"American Missionary, The",New York,NY,1/1/1860,11/1/1865,English,Missions--Periodicals.
"American Monthly Knickerbocker, The",New York,NY,3/1/1864,5/1/1864,English,Literary periodicals.
American Monthly Magazine,Boston,MA,2/1/1855,6/1/1855,English,Literary periodicals.
"American Monthly, The",New York,NY,1/1/1859,1/1/1859,English,Literary periodicals.
"American Monthly, The",New York,NY,7/1/1860,11/1/1860,English,Literary periodicals.
"American National Preacher, The",New York,NY,1/1/1853,12/1/1857,English,Sermons--Periodicals.Religion--Periodicals.
American Notes and Queries ,Philadelphia,PA,1/1/1857,4/1/1857,English,Literary periodicals.
"American Odd Fellow: A Monthly Magazine Devoted to Disseminating a Knowledge of the Sentiments, Principles, Operations, and Condition of American Odd Fellows, The",New York,NY,1/1/1862,12/1/1865,English,Friendly society--periodicals.
American Odd-Fellow,Boston,MA,10/21/1854,10/21/1854,English,Fraternal organization periodicals.
American Phonetic Journal,Cincinnati,OH,1/1/1855,12/1/1858,English,English language--Phonetics--Periodicals.
American Phrenological Journal,New York,NY,1/1/1854,12/1/1861,English,Phrenology--Periodicals.
American Phrenological Journal and Life Illustrated,New York,NY,1/1/1862,12/1/1862,English,Phrenology--Periodicals.
"American Phrenological Journal, Repository of Science, Literature, and General Intelligence: Devoted to Phrenology, Physiology, Magnetism, Education, Mechanism, Agriculture...",New York,NY,1/1/1853,12/1/1853,English,Medical periodicals.Science periodicals.
"American Polytechnic Journal, The",Washington D.C.,USA,1/1/1853,1/1/1853,English,Technology--Periodicals.Industrial arts--Periodicals.
"American Presbyterian and Theological Review, The",New York,NY,1/1/1863,10/1/1865,English,Presbyterianism--Periodicals.
"American Presbyterian, The",Philadelphia,PA,1/8/1863,4/27/1865,English,Presbyterian Church--Periodicals.Theology--Periodicals.
American Primitive Methodist Magazine,Mineral Point,WI,1/1/1863,12/1/1863,English,Religious periodicals.
